,Point.Forecast,Lo.75,Hi.75,Lo.90,Hi.90
01/04/2020,58.32989441,58.20750505,58.45228377,58.15489315,58.50489566
01/05/2020,58.28325388,58.14074313,58.42576462,58.0794816,58.48702616
01/06/2020,58.26079436,58.1006086,58.42098012,58.03174906,58.48983966
01/07/2020,58.26155394,58.08543194,58.43767594,58.00972183,58.51338605
01/08/2020,58.24513702,58.05442497,58.43584908,57.97244298,58.51783106
01/09/2020,58.23533002,58.03114588,58.43951417,57.94337261,58.52728744
01/10/2020,58.24881411,58.03197388,58.46565435,57.9387601,58.55886813
01/11/2020,58.2333757,58.00454679,58.4622046,57.9061794,58.56057199
01/12/2020,58.20251895,57.96237155,58.44266634,57.85913865,58.54589924
01/01/2021,58.20591309,57.95495165,58.45687452,57.84707009,58.56475608
01/02/2021,58.21620216,57.95482218,58.47758214,57.84246196,58.58994236
01/03/2021,58.20931379,57.9379917,58.48063588,57.82135764,58.59726995
01/04/2021,58.19373377,57.91287707,58.47459047,57.79214433,58.59532321
01/05/2021,58.17096138,57.88082817,58.46109459,57.75610771,58.58581505
01/06/2021,58.16818606,57.86902077,58.46735135,57.74041766,58.59595446
01/07/2021,58.18517932,57.87722382,58.49313481,57.74484204,58.62551659
01/08/2021,58.18215041,57.86565404,58.49864677,57.72960077,58.63470005
01/09/2021,58.18338459,57.85861606,58.50815311,57.71900681,58.64776236
01/10/2021,58.2059744,57.87312251,58.53882628,57.73003844,58.68191035
01/11/2021,58.19804553,57.85727752,58.53881353,57.71079052,58.68530053
01/12/2021,58.17338194,57.82492493,58.52183895,57.67513263,58.67163125
01/01/2022,58.18188362,57.82589763,58.53786961,57.67286883,58.69089841
01/02/2022,58.19638492,57.83298709,58.55978274,57.67677215,58.71599768
01/03/2022,58.19297039,57.82236371,58.56357708,57.66304987,58.72289092
01/04/2022,58.18025527,57.80261769,58.55789285,57.64028146,58.72022908
01/05/2022,58.15984558,57.77526316,58.54442799,57.60994153,58.70974963
01/06/2022,58.15901879,57.76758106,58.55045652,57.59931251,58.71872507
01/07/2022,58.17761901,57.77942564,58.57581239,57.60825302,58.74698501
01/08/2022,58.17591538,57.77108274,58.58074803,57.59705607,58.75477469
01/09/2022,58.17824252,57.76691225,58.58957279,57.59009244,58.76639261
01/10/2022,58.20173371,57.78399322,58.61947419,57.60441783,58.79904959
01/11/2022,58.1945482,57.77047447,58.61862194,57.58817658,58.80091982
01/12/2022,58.17049768,57.74022203,58.60077332,57.55525811,58.78573724
01/01/2023,58.17950495,57.74311045,58.61589945,57.5555162,58.8034937
01/02/2023,58.19442321,57.75196245,58.63688397,57.56176048,58.82708595
01/03/2023,58.19135256,57.74295276,58.63975237,57.55019775,58.83250738
01/04/2023,58.17892104,57.72469332,58.63314875,57.52943305,58.82840902
01/05/2023,58.15874523,57.69872785,58.6187626,57.50097876,58.81651169
01/06/2023,58.15811133,57.69234789,58.62387476,57.49212872,58.82409393
01/07/2023,58.17687062,57.70541562,58.64832562,57.5027498,58.85099145
01/08/2023,58.17529818,57.69822256,58.6523738,57.49314059,58.85745577
01/09/2023,58.17773351,57.69513211,58.66033491,57.48767475,58.86779227
01/10/2023,58.20131392,57.71323758,58.68939026,57.5034267,58.89920114
01/11/2023,58.194202,57.70069433,58.68770968,57.48854866,58.89985535
01/12/2023,58.17021216,57.67136516,58.66905917,57.45692425,58.88350008
01/01/2024,58.17926949,57.67513528,58.68340369,57.45842155,58.90011742
